,Date,Open,High,Low,Close,Adj.Close,Volume
151,03-Sep-20,"1,699.52",1700.00,"1,607.71","1,629.51","1,629.51","31,86,300"
152,02-Sep-20,"1,668.01",1726.10,"1,660.19","1,717.39","1,717.39","24,76,100"
153,01-Sep-20,"1,632.16",1659.22,"1,629.53","1,655.08","1,655.08","11,33,800"
154,31-Aug-20,"1,643.57",1644.50,"1,625.33","1,629.53","1,629.53","13,21,100"
155,28-Aug-20,"1,629.47",1641.35,"1,625.61","1,639.43","1,639.43","11,20,900"
156,27-Aug-20,"1,646.61",1647.99,"1,618.81","1,628.52","1,628.52","15,67,500"
157,26-Aug-20,"1,606.30",1652.79,"1,600.98","1,644.13","1,644.13","26,09,400"
158,25-Aug-20,"1,580.10",1608.88,"1,577.88","1,605.85","1,605.85","12,57,500"
159,24-Aug-20,"1,592.47",1608.78,"1,575.04","1,585.15","1,585.15","12,81,900"
160,21-Aug-20,"1,571.80",1591.88,"1,562.31","1,575.57","1,575.57","17,41,900"
161,20-Aug-20,"1,539.97",1580.17,"1,534.46","1,576.25","1,576.25","13,19,100"
162,19-Aug-20,"1,552.49",1568.86,"1,540.00","1,544.61","1,544.61","15,23,600"
163,18-Aug-20,"1,526.12",1557.37,"1,521.67","1,555.78","1,555.78","14,18,900"
164,17-Aug-20,"1,515.97",1523.78,"1,505.00","1,516.24","1,516.24","9,99,500"
165,14-Aug-20,"1,513.61",1519.79,"1,499.00","1,504.63","1,504.63","10,97,100"
166,13-Aug-20,"1,508.21",1536.97,"1,508.21","1,516.65","1,516.65","11,19,400"
167,12-Aug-20,"1,487.12",1511.67,"1,485.00","1,507.24","1,507.24","11,26,600"
168,11-Aug-20,"1,494.00",1510.44,"1,478.19","1,480.54","1,480.54","15,54,900"
169,10-Aug-20,"1,490.80",1507.15,"1,477.49","1,496.82","1,496.82","10,27,300"
170,07-Aug-20,"1,509.04",1520.09,"1,486.27","1,498.37","1,498.37","13,85,900"
171,06-Aug-20,"1,476.15",1506.27,"1,471.90","1,504.95","1,504.95","16,65,300"
172,05-Aug-20,"1,476.82",1490.00,"1,471.22","1,479.09","1,479.09","14,57,500"
173,04-Aug-20,"1,486.71",1493.11,"1,464.03","1,473.30","1,473.30","18,60,600"
174,03-Aug-20,"1,491.00",1497.73,"1,471.72","1,482.76","1,482.76","22,74,100"
175,31-Jul-20,"1,497.05",1505.02,"1,454.00","1,487.95","1,487.95","45,76,400"
176,30-Jul-20,"1,497.97",1540.89,"1,495.17","1,538.37","1,538.37","18,02,100"
177,29-Jul-20,"1,505.00",1533.33,"1,503.01","1,523.51","1,523.51","11,33,800"
178,28-Jul-20,"1,525.00",1526.01,"1,500.52","1,503.65","1,503.65","15,45,500"
179,27-Jul-20,"1,513.26",1537.56,"1,512.33","1,529.43","1,529.43","13,56,200"
180,24-Jul-20,"1,499.19",1515.43,"1,487.59","1,508.21","1,508.21","14,95,100"
181,23-Jul-20,"1,565.93",1570.35,"1,508.59","1,516.75","1,516.75","16,95,500"
182,22-Jul-20,"1,555.71",1566.98,"1,543.23","1,564.85","1,564.85","12,24,100"
183,21-Jul-20,"1,585.03",1587.05,"1,552.62","1,555.92","1,555.92","13,77,700"
184,20-Jul-20,"1,515.00",1569.01,"1,502.70","1,563.84","1,563.84","15,08,300"
185,17-Jul-20,"1,516.91",1523.43,"1,498.10","1,516.85","1,516.85","17,13,200"
186,16-Jul-20,"1,501.50",1515.91,"1,488.27","1,514.92","1,514.92","13,24,200"
187,15-Jul-20,"1,523.23",1536.33,"1,497.83","1,516.88","1,516.88","15,51,300"
188,14-Jul-20,"1,492.79",1522.80,"1,485.93","1,520.86","1,520.86","19,05,400"
189,13-Jul-20,"1,549.94",1576.36,"1,506.56","1,512.23","1,512.23","21,47,700"
190,10-Jul-20,"1,513.25",1541.34,"1,500.72","1,539.01","1,539.01","17,95,900"
191,09-Jul-20,"1,509.93",1529.14,"1,495.59","1,518.66","1,518.66","20,91,800"
192,08-Jul-20,"1,500.80",1511.17,"1,492.30","1,503.60","1,503.60","15,88,300"
193,07-Jul-20,"1,496.13",1521.32,"1,489.70","1,489.92","1,489.92","21,18,200"
194,06-Jul-20,"1,488.15",1510.00,"1,476.98","1,499.65","1,499.65","22,35,600"
195,02-Jul-20,"1,451.84",1488.52,"1,451.07","1,469.93","1,469.93","28,60,900"
196,01-Jul-20,"1,419.17",1448.48,"1,414.18","1,442.00","1,442.00","21,09,100"
197,30-Jun-20,"1,396.88",1424.00,"1,386.93","1,418.05","1,418.05","20,14,300"
198,18-Nov-20,274.52,277.39,271.84,271.97,271.97,"1,21,40,400"
199,17-Nov-20,277.68,277.68,273.29,275,275,"1,50,40,300"
200,16-Nov-20,275.05,279.41,274.63,278.96,278.96,"1,29,70,400"
201,13-Nov-20,277.72,277.76,273.1,276.95,276.95,"1,03,91,200"
202,12-Nov-20,277.18,279.75,274.43,275.08,275.08,"1,28,99,500"
203,11-Nov-20,273.47,278.40,272.48,276.48,276.48,"1,49,57,000"
204,10-Nov-20,273.1,274.00,264,272.43,272.43,"2,90,67,700"
205,09-Nov-20,289.87,292.58,278.53,278.77,278.77,"2,51,17,700"
206,06-Nov-20,293.95,294.60,288.06,293.41,293.41,"1,38,91,000"
207,05-Nov-20,291.9,297.38,288.95,294.68,294.68,"2,38,23,600"
208,04-Nov-20,281,288.94,278.62,287.38,287.38,"3,53,64,400"
209,03-Nov-20,263.16,270.05,260.88,265.3,265.3,"1,79,61,900"
210,02-Nov-20,264.6,270.47,257.34,261.36,261.36,"2,71,65,700"
211,30-Oct-20,274.5,276.70,259.1,263.11,263.11,"4,72,47,800"
212,29-Oct-20,276.55,283.60,273.78,280.83,280.83,"3,23,68,100"
213,28-Oct-20,278.79,278.79,267.26,267.67,267.67,"2,31,21,800"
214,27-Oct-20,278.76,284.51,276.31,283.29,283.29,"1,62,87,200"
215,26-Oct-20,283.16,285.23,274.26,277.11,277.11,"2,13,22,900"
216,23-Oct-20,278.8,285.24,276.82,284.79,284.79,"1,75,35,200"
217,22-Oct-20,279.87,282.45,275.04,278.12,278.12,"1,67,20,000"
218,21-Oct-20,279.56,283.05,276.37,278.73,278.73,"2,89,98,600"
219,20-Oct-20,263.06,269.70,262.88,267.56,267.56,"1,87,63,200"
220,19-Oct-20,265.53,268.55,259.88,261.4,261.4,"1,35,87,000"
221,16-Oct-20,267.38,271.37,265.3,265.93,265.93,"1,66,22,700"
222,15-Oct-20,267.6,269.04,263.67,266.72,266.72,"1,54,16,100"
223,14-Oct-20,277.62,278.75,271.5,271.82,271.82,"1,56,01,200"
224,13-Oct-20,277.58,279.10,273.39,276.14,276.14,"1,80,63,300"
225,12-Oct-20,270.2,280.18,267.87,275.75,275.75,"3,10,19,300"
226,09-Oct-20,264.52,264.75,262.17,264.45,264.45,"1,41,07,800"
227,08-Oct-20,259.75,264.62,259.15,263.76,263.76,"1,63,12,800"
228,07-Oct-20,259.21,260.18,254.82,258.12,258.12,"2,31,33,400"
229,06-Oct-20,261.78,265.69,258.24,258.66,258.66,"1,86,96,900"
230,05-Oct-20,262.2,264.87,260.84,264.65,264.65,"1,28,22,300"
231,02-Oct-20,261.21,265.15,259.18,259.94,259.94,"1,63,67,600"
232,01-Oct-20,265.35,268.33,264.8,266.63,266.63,"2,00,09,800"
233,30-Sep-20,261.98,266.08,260.1,261.9,261.9,"2,01,05,800"
234,29-Sep-20,257.81,263.33,256.9,261.79,261.79,"2,02,00,200"
235,28-Sep-20,259.4,259.60,254.82,256.82,256.82,"1,88,26,300"
236,25-Sep-20,249.4,255.75,246.61,254.82,254.82,"1,83,51,300"
237,24-Sep-20,246.5,252.24,245.62,249.53,249.53,"2,00,06,800"
238,23-Sep-20,255.26,257.99,248.15,249.02,249.02,"1,96,41,300"
239,22-Sep-20,253.31,255.32,248.22,254.75,254.75,"3,02,93,100"
240,21-Sep-20,247.54,249.95,244.13,248.15,248.15,"2,47,09,400"
241,18-Sep-20,258.4,259.20,250.05,252.53,252.53,"2,81,30,800"
242,17-Sep-20,258.28,261.50,250.19,254.82,254.82,"3,12,81,400"
243,16-Sep-20,267.29,272.44,261.79,263.52,263.52,"2,91,83,400"
244,15-Sep-20,270.67,274.52,269.3,272.42,272.42,"1,84,78,500"
245,14-Sep-20,270.95,276.64,265.7,266.15,266.15,"2,40,93,800"
246,11-Sep-20,270.06,271.39,262.64,266.61,266.61,"1,89,13,900"
247,10-Sep-20,275.51,279.16,267.03,268.09,268.09,"2,48,14,700"
248,09-Sep-20,275.77,278.48,271.35,273.72,273.72,"2,29,18,800"
249,08-Sep-20,271.28,279.30,269.42,271.16,271.16,"2,48,64,000"
250,04-Sep-20,287.25,289.00,271.14,282.73,282.73,"3,03,33,700"
251,03-Sep-20,295.99,297.60,283.63,291.12,291.12,"3,22,94,100"
252,02-Sep-20,298.88,303.60,293.05,302.5,302.5,"2,43,41,400"
253,01-Sep-20,294.71,301.49,292.71,295.44,295.44,"1,73,20,900"
254,31-Aug-20,293.95,296.88,291.55,293.2,293.2,"1,73,45,100"
255,28-Aug-20,295,297.23,290.98,293.66,293.66,"1,71,72,400"
256,27-Aug-20,300.16,301.23,292.02,293.22,293.22,"3,03,01,300"
257,26-Aug-20,284,304.67,284,303.91,303.91,"6,90,15,200"
258,25-Aug-20,272.41,283.09,270.26,280.82,280.82,"4,21,27,200"
259,24-Aug-20,271.07,277.25,268.77,271.39,271.39,"2,36,85,600"
260,21-Aug-20,268.69,270.49,266.42,267.01,267.01,"1,55,38,600"
261,20-Aug-20,261.5,269.63,261.46,269.01,269.01,"2,02,99,700"
262,19-Aug-20,261.39,267.91,261.35,262.59,262.59,"2,32,91,500"
263,18-Aug-20,260.95,265.15,259.26,262.34,262.34,"1,86,90,400"
264,17-Aug-20,262.5,264.10,259.4,261.16,261.16,"1,33,51,100"
265,14-Aug-20,262.31,262.65,258.68,261.24,261.24,"1,47,92,700"
266,13-Aug-20,261.55,265.16,259.57,261.3,261.3,"1,73,74,000"
267,12-Aug-20,258.97,263.90,258.11,259.89,259.89,"2,14,28,300"
268,11-Aug-20,260.19,265.92,255.13,256.13,256.13,"2,82,38,300"
269,10-Aug-20,268.04,273.86,259.69,263,263,"3,02,48,800"
270,07-Aug-20,264.08,278.89,263.43,268.44,268.44,"7,27,35,500"
271,06-Aug-20,249.04,266.60,248.67,265.28,265.28,"4,52,41,600"
272,05-Aug-20,250.19,252.27,247.77,249.12,249.12,"1,30,88,400"
273,04-Aug-20,251.56,252.80,247.43,249.83,249.83,"1,71,83,500"
274,03-Aug-20,252.65,255.40,250.33,251.96,251.96,"2,31,24,900"
275,31-Jul-20,255.82,255.85,249,253.67,253.67,"5,30,30,000"
276,30-Jul-20,230.22,234.89,229,234.5,234.5,"2,06,15,300"
277,29-Jul-20,231.14,233.70,230.31,233.29,233.29,"1,35,88,300"
278,28-Jul-20,234.63,234.96,229.83,230.12,230.12,"1,41,70,100"
279,27-Jul-20,231.46,234.95,230.83,233.5,233.5,"1,31,63,100"
280,24-Jul-20,230.19,233.49,226.9,230.71,230.71,"1,83,25,800"
281,23-Jul-20,239.63,242.42,231.75,232.6,232.6,"2,17,71,800"
282,22-Jul-20,240.26,241.90,238.12,239.87,239.87,"1,54,27,900"
283,21-Jul-20,246.22,246.91,240.08,241.75,241.75,"1,94,09,700"
284,20-Jul-20,240.06,246.05,235.64,245.42,245.42,"2,08,72,200"
285,17-Jul-20,241,244.16,237.86,242.03,242.03,"1,81,52,400"
286,16-Jul-20,238,241.76,236.33,240.93,240.93,"1,88,80,700"
287,15-Jul-20,241.55,244.82,238.05,240.28,240.28,"1,91,33,600"
288,14-Jul-20,236.76,240.33,232.03,239.73,239.73,"2,33,78,100"
289,13-Jul-20,247.01,250.15,238.42,239,239,"2,46,74,900"
290,10-Jul-20,243.69,245.49,239.32,245.07,245.07,"2,29,82,700"
291,09-Jul-20,245,246.53,239.24,244.5,244.5,"2,21,74,900"
292,08-Jul-20,238.11,246.99,236.59,243.58,243.58,"2,97,91,300"
293,07-Jul-20,239.41,247.65,238.82,240.86,240.86,"2,78,87,800"
294,06-Jul-20,233.76,240.40,232.27,240.28,240.28,"2,62,06,200"
295,02-Jul-20,239,240.00,232.61,233.42,233.42,"3,06,33,600"
296,01-Jul-20,228.5,239.00,227.56,237.55,237.55,"4,33,99,700"
297,30-Jun-20,220.59,227.50,218.47,227.07,227.07,"3,39,27,100"
298,18-Nov-20,257.76,258.31,252.55,255.83,255.83,"2,82,77,400"
299,17-Nov-20,260.28,260.28,256.54,256.8,256.8,"1,97,39,500"
300,16-Nov-20,260.42,262.57,257.03,258.31,258.31,"2,08,64,200"
301,13-Nov-20,264.72,265.44,257.17,260.84,260.84,"3,39,42,800"
302,12-Nov-20,271.04,271.20,263.04,264.31,264.31,"2,71,19,100"
303,11-Nov-20,261.92,271.92,261.2,265.65,265.65,"4,16,99,000"
304,10-Nov-20,279.97,280.00,264.33,266.54,266.54,"6,10,64,000"
305,09-Nov-20,303.77,304.00,290.5,290.53,290.53,"2,25,59,900"
306,06-Nov-20,291.49,300.89,289.79,299.95,299.95,"2,52,59,600"
307,05-Nov-20,289.09,291.25,279.6,287.75,287.75,"5,00,65,200"
308,04-Nov-20,287.79,299.17,285.3,295.71,295.71,"2,87,91,200"
309,03-Nov-20,286.2,294.28,280.78,285.57,285.57,"5,81,32,500"
310,02-Nov-20,310.95,311.44,305.39,310.84,310.84,"1,18,57,600"
311,30-Oct-20,308.55,310.83,300.19,304.69,304.69,"1,49,18,500"
312,29-Oct-20,309.44,315.58,308.91,312.56,312.56,"1,11,74,500"
313,28-Oct-20,313.5,313.50,306,307.94,307.94,"1,36,44,500"
314,27-Oct-20,307.75,319.32,305.61,317.14,317.14,"1,31,75,900"
315,26-Oct-20,309.92,315.46,303.2,306.87,306.87,"93,50,100"
316,23-Oct-20,307.27,310.33,304.06,309.92,309.92,"62,31,400"
317,22-Oct-20,311.46,311.85,304.21,306.28,306.28,"80,08,400"
318,21-Oct-20,311.75,314.00,307.7,307.97,307.97,"1,11,39,700"
319,20-Oct-20,307.6,311.80,307.06,309.81,309.81,"88,06,100"
320,19-Oct-20,309.89,313.81,303.41,305.29,305.29,"1,41,07,300"
321,16-Oct-20,303.99,310.00,302.95,307.31,307.31,"1,23,38,000"
322,15-Oct-20,293.8,299.86,292.61,299.46,299.46,"97,09,900"
323,14-Oct-20,309,309.96,300.8,301.04,301.04,"1,51,86,400"
